,type,date,title,author,url,is_twitter,raw_desc,truth_value,tags,is_blog_desc,is_blog_cat,is_blog,annotated_column,raw_url,twitter_handle,n_followers,problem
2213,Facebook posts,7/29/22,"“‘Monkeypox’ is only circulating in countries where the Pfizer vaccine has been distributed and is being used to advance a Technocratic Great Reset.""",Madison Czopek,https://www.politifact.com/factchecks/2022/jul/29/facebook-posts/theres-no-evidence-pfizer-covid-19-vaccine-connect/,0,"stated on July 24, 2022 in a blog post shared on Facebook:",FALSE,"['Public Health', 'Science', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts']",1,0,1,,https://expose-news.com/2022/07/24/monkeypox-pfizer-great-reset/,exthepose,7760,0
2344,Viral image,6/30/22,"J.K. Rowling tweeted, “If you American birds could keep your legs closed then maybe you wouldn’t need abortions in the first place?”",Grace Abels,https://www.politifact.com/factchecks/2022/jun/30/viral-image/no-jk-rowling-did-not-write-tweet-advising-america/,1,"stated on June 26, 2022 in a Tweet:",FALSE,"['Abortion', 'Facebook Fact-checks', 'Viral image']",0,0,0,account_suspended,https://archive.ph/Xft4V,Nora_Synth,,1
2414,X posts,6/9/22,Ray Liotta died because of the COVID-19 vaccine.,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/jun/09/tweets/no-ray-liotta-didnt-die-covid-19-vaccine/,1,"stated on May 26, 2022 in a tweet:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://twitter.com/vaskhowski/status/1529877232428191744?t=4w5D45Cy7gxKAwOKpuVDiw,vaskhowski,207,0
2509,X posts,5/20/22,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”",Samantha Putterman,https://www.politifact.com/factchecks/2022/may/20/tweets/image-clarence-and-ginni-thomas-enjoying-bottle-wi/,1,"stated on May 6, 2022 in a tweet:",FALSE,"['Abortion', 'National', 'Supreme Court', 'X posts']",0,0,0,,https://twitter.com/OccupyDemocrats/status/1522400366029115392,OccupyDemocrats,653298,0
2528,Bloggers,5/18/22,“Breaking: Democrats introduce bill to put Americans in quarantine camps.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/may/18/blog-posting/no-democrats-arent-trying-put-americans-quarantine/,0,"stated on May 17, 2022 in a blog post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.ph/ZJlRP,infowars,415521,0
2555,Joe Biden,5/16/22,“When President Biden took office … there was no vaccine available.”,Louis Jacobson,https://www.politifact.com/factchecks/2022/may/16/joe-biden/white-house-errs-vaccine-availability-then-correct/,1,"stated on May 12, 2022 in a tweet:",FALSE,"['Public Health', 'Coronavirus', 'Joe Biden']",0,0,0,elected_rep,https://twitter.com/WhiteHouse/status/1524868269148192779,WhiteHouse,8782381,0
2585,X posts,5/9/22,"""GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”",Jeff Cercone,https://www.politifact.com/factchecks/2022/may/09/tweets/sen-marsha-blackburn-has-not-proposed-limits-birth/,1,"stated on May 8, 2022 in a tweet:",FALSE,"['Abortion', 'X posts']",0,0,0,,https://twitter.com/bone00afide/status/1523408788832747522,bone00afide,37834,0
2586,Pam Keith,5/9/22,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”",Samantha Putterman,https://www.politifact.com/factchecks/2022/may/09/pam-keith/tennessee-passed-ban-mailing-abortion-pills-not-em/,1,"stated on May 8, 2022 in a tweet:",FALSE,"['Abortion', 'National', 'Pam Keith']",0,0,0,,https://twitter.com/pamkeithfl/status/1523141006509502470?s=21&t=WUp4qeoAk8soPneTyt88Mw,PamKeithFL,147669,0
2587,Alexandria Ocasio-Cortez,5/9/22,"""In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.""",Nusaiba Mizan,https://www.politifact.com/factchecks/2022/may/09/alexandria-ocasio-cortez/texas-law-targets-abortion-providers-not-patients/,1,"stated on April 29, 2022 in a tweet:",FALSE,"['Abortion', 'Health Care', 'Women', 'Texas', 'Alexandria Ocasio-Cortez']",0,0,0,elected_rep,https://twitter.com/AOC/status/1520108070151536641,AOC,13262878,0
2709,X posts,4/13/22,Gilbert Gottfried died from the COVID-19 vaccine.,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/apr/13/tweets/gilbert-gottfried-didnt-die-covid-19-vaccine/,1,"stated on April 12, 2022 in a tweet:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,account_suspended,,,,1
2754,X posts,4/5/22,Pfizer paid “$2.8 million bribe payment” to the FDA for COVID-19 vaccine approval.,Jeff Cercone,https://www.politifact.com/factchecks/2022/apr/05/tweets/pfizer-did-not-bribe-fda-approval-its-covid-19-vac/,1,"stated on April 2, 2022 in a tweet:",FALSE,"['Public Health', 'Coronavirus', 'X posts']",0,0,0,account_suspended,,,,1
2810,Bloggers,3/24/22,"""Documents were published confirming Moderna created the COVID-19 Virus.”",Jeff Cercone,https://www.politifact.com/factchecks/2022/mar/24/blog-posting/no-study-doesnt-prove-moderna-created-covid-19/,0,"stated on March 14, 2022 in an article:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,,https://expose-news.com/2022/03/14/documents-published-confirming-moderna-created-covid/,exthepose,7760,0
2818,Bloggers,3/23/22,"The drug labels for the Pfizer COVID-19 vaccine “were blank when they should have contained all these diseases and adverse events"" listed in a confidential report.",Vivian Lam,https://www.politifact.com/factchecks/2022/mar/23/blog-posting/fact-checking-false-claims-pfizers-covid-19-vaccin/,0,"stated on March 1, 2022 in a video:",FALSE,"['Health Care', 'Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,,,,1
2891,Bloggers,3/8/22,“Worldwide data has confirmed the vaccinated are developing COVID vaccine-induced Acquired Immune Deficiency Syndrome.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/mar/08/blog-posting/no-covid-19-vaccines-arent-causing-aids/,0,"stated on March 6, 2022 in a Facebook post:",pants-fire,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,,https://expose-news.com/2022/03/06/russia-distraction-from-fact-covid-jabs-cause-vaids/,exthepose,7760,0
2991,Bloggers,2/17/22,"List shows “1,000 peer reviewed studies questioning COVID-19 vaccine safety”",Monique Curet,https://www.politifact.com/factchecks/2022/feb/17/blog-posting/studies-included-list-do-not-question-covid-19-vac/,0,"stated on January 20, 2022 in a blog post list:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,cant_find_account,https://archive.is/XvFUo,,,1
3011,Chip Roy,2/15/22,"Pfizer is ""literally using the force of government and the culture of fear to jab children under 5 — with zero basis in science — to make billions of dollars.""",Nusaiba Mizan,https://www.politifact.com/factchecks/2022/feb/15/chip-roy/research-submitted-fda-consideration-vaccine-autho/,1,"stated on February 1, 2022 in a tweet:",pants-fire,"['Children', 'Public Health', 'Coronavirus', 'Texas', 'Chip Roy']",0,0,0,elected_rep,https://twitter.com/chiproytx/status/1488626453147181068,chiproytx,319740,0
3020,Bloggers,2/11/22,COVID-19 vaccines caused a 40% increase in deaths identified by a life insurance company.,Madison Czopek,https://www.politifact.com/factchecks/2022/feb/11/blog-posting/no-covid-19-vaccines-arent-responsible-increase-de/,0,"stated on February 4, 2022 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,life_insurance_video,https://twitter.com/OneAmerica,OneAmerica,2245,0
3026,Bloggers,2/11/22,"In England, “official data shows children are up to 52 times more likely to die following COVID-19 vaccination than unvaccinated children.”",Sara Swann,https://www.politifact.com/factchecks/2022/feb/11/blog-posting/no-covid-19-vaccine-not-increasing-child-mortality/,0,"stated on January 29, 2022 in a blog post:",FALSE,"['Children', 'Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,http://archive.today/8iusv,exthepose,7760,0
3082,X posts,2/2/22,Research from Japan shows “ivermectin is effective against omicron in Phase III trial.”,Gabrielle Settles,https://www.politifact.com/factchecks/2022/feb/02/tweets/ivermectin-study-showed-antiviral-effect-which-not/,1,"stated on January 31, 2022 in Twitter posts:",FALSE,"['Drugs', 'Science', 'Health Check', 'Coronavirus', 'X posts']",0,0,0,account_suspended,https://twitter.com/disclosetv/status/1488134266663931908,,,1
3097,Bloggers,1/31/22,The CDC staged “the ‘escaping monkeys’ as a cover story for releasing the next bioweapon.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/jan/31/blog-posting/no-evidence-support-claim-cdc-staged-monkey-crash/,0,"stated on January 26, 2022 in a blog post:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Pennsylvania', 'Bloggers']",1,1,1,cant_find_account,https://archive.is/3MBA3,,,1
3163,X posts,1/20/22,Novak Djokovic is the first professional athlete to be banned from a major sporting event for “not taking drugs.”,Samantha Putterman,https://www.politifact.com/factchecks/2022/jan/20/tweets/no-djokovic-isnt-first-athlete-be-banned-sporting-/,1,"stated on January 16, 2022 in a tweet:",FALSE,"['Sports', 'Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://archive.is/4rhP2,Dispropoganda,35928,0
3190,Viral image,1/13/22,Video shows Rafael Nadal and Roger Federer laughing at Novak Djokovic after he was stuck in an Australian airport.,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/jan/13/viral-image/no-isnt-real-video-nadal-and-federer-laughing-djok/,1,"stated on January 5, 2022 in a tweet:",FALSE,"['Sports', 'Facebook Fact-checks', 'Coronavirus', 'Viral image']",0,0,0,account_protected,https://archive.is/r90h0,,,1
3209,X posts,1/10/22,Says Bob Saget died from the COVID-19 vaccine.,Ciara O'Rourke,https://www.politifact.com/factchecks/2022/jan/10/tweets/social-media-posts-try-connect-sagets-death-covid-/,1,"stated on January 10, 2022 in a tweet:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://archive.is/dFroZ#selection-561.0-561.14,BackBettr,279,0
3219,Bloggers,1/7/22,“Data from around the world suggests that omicron favors the fully vaccinated.”,Jill Terreri Ramos,https://www.politifact.com/factchecks/2022/jan/07/blog-posting/no-omicron-does-not-favor-vaccinated/,0,"stated on January 3, 2022 in a blog post:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://alphanews.org/data-show-omicron-more-resistant-to-vaccines-than-delta-variant/,AlphaNewsMN,50230,0
3221,The Gateway Pundit,1/7/22,"""Germany: 96% of Latest Omicron Patients were FULLY Vaccinated – Only 4% Unvaccinated”",Jeff Cercone,https://www.politifact.com/factchecks/2022/jan/07/gateway-pundit/report-about-omicron-cases-germany-was-based-incor/,0,"stated on December 31, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'The Gateway Pundit']",1,0,1,,https://www.thegatewaypundit.com/2021/12/germany-96-latest-omicron-patients-fully-vaccinated-4-unvaccinated/,gatewaypundit,669931,0
3231,Bloggers,1/5/22,“Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!”,Monique Curet,https://www.politifact.com/factchecks/2022/jan/05/blog-posting/old-video-clip-pfizer-ceo-not-referring-microchips/,0,"stated on January 2, 2022 in an article:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.is/ArnnY,,,1
3245,Bloggers,1/3/22,“Six-month Pfizer data show COVID vaccine causes more illness than it prevents.”,Tom Kertscher,https://www.politifact.com/factchecks/2022/jan/03/blog-posting/claim-pfizer-data-shows-vaccine-does-more-harm-goo/,0,"stated on December 19, 2021 in an article:",pants-fire,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.md/LRcG9,,,1
3248,X posts,12/23/21,“WHO Director-General: The vaccines are being used to kill children.”,Gabrielle Settles,https://www.politifact.com/factchecks/2021/dec/23/tweets/twitter-post-misconstrues-what-who-director-genera/,1,"stated on December 22, 2021 in a tweet:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Health Check', 'Coronavirus', 'X posts']",0,0,0,account_suspended,https://twitter.com/humptapuss/status/1473582386889723907,,,1
3257,Bloggers,12/21/21,"""Electromagnetic radiation from wireless technologies, including and especially 5G, can cause the same symptoms as COVID-19!""",Vivian Lam,https://www.politifact.com/factchecks/2021/dec/21/blog-posting/no-5g-technology-does-not-cause-covid-19-symptoms/,0,"stated on December 17, 2021 in a blog post:",FALSE,"['Public Health', 'Technology', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.md/7B7vg,whioce_jctr,38,0
3259,Steve Kirsch,12/21/21,“They've now killed close to twice as many kids from the vaccine as have died from COVID.”,Tom Kertscher,https://www.politifact.com/factchecks/2021/dec/21/steve-kirsch/contorted-claim-children-killed-covid-19-vaccines-/,0,"stated on December 12, 2021 in a blog post:",pants-fire,"['Children', 'Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Steve Kirsch']",1,0,1,,https://archive.md/Ysbcv,stkirsch,450066,0
3270,Bloggers,12/17/21,“Santa Claus arrested by German police for not wearing a mask.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/dec/17/blog-posting/no-german-police-didnt-arrest-santa-not-wearing-ma/,0,"stated on December 14, 2021 in a Facebook post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,,,,1
3283,Bloggers,12/15/21,"""2,809 Dead Babies in VAERS Following COVID Shots as New Documents Prove Pfizer, the FDA, and the CDC Knew the Shots Were Not Safe for Pregnant Women""",Jill Terreri Ramos,https://www.politifact.com/factchecks/2021/dec/15/blog-posting/vaers-data-misused-spread-fears-about-vaccines-imp/,0,"stated on December 4, 2021 in a blog post:",FALSE,"['Coronavirus', 'Bloggers']",1,1,1,,https://healthimpactnews.com/2021/2809-dead-babies-in-vaers-following-covid-shots-as-new-documents-prove-pfizer-the-fda-and-the-cdc-knew-the-shots-were-not-safe-for-pregnant-women/,HealthyNews2day,52063,0
3291,Bloggers,12/13/21,"At Lions Gate Hospital in Vancouver, “13 babies were reportedly stillborn at the hospital in a period of 24 hours. All of their mothers had received a COVID-19 injection.”",Monique Curet,https://www.politifact.com/factchecks/2021/dec/13/blog-posting/vancouver-hospital-did-not-see-surge-stillbirths-a/,0,"stated on November 30, 2021 in an article:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://fox26newshenry.com/2021/11/30/sudden-surge-in-stillbirths-and-menstrual-changes/?fbclid=IwAR11acraY4OOi6dPp-MTXUwCxnTovWmiFP1fiEDTiyHZrKxReWxnHzup_o4,,,1
3301,Bloggers,12/10/21,"The COVID-19 vaccines ""suppress the immune system"" and make people more susceptible to HIV, shingles and herpes.",Andy Nguyen,https://www.politifact.com/factchecks/2021/dec/10/blog-posting/no-getting-covid-19-vaccine-wont-weaken-your-immun/,0,"stated on November 22, 2021 in a video:",FALSE,"['Health Care', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,,https://expose-news.com/2021/11/22/mayo-clinic-trained-doctor-says-covid-19-vaccines-suppress-the-immune-system-making-people-more-prone-to-hiv-shingles-and-herpes/,exthepose,7760,0
3322,Bloggers,12/7/21,“Only the fully vaccinated should fear the new ‘worst ever’ Covid-19 variant; data shows they already account for 4 in every 5 Covid deaths”,Madison Czopek,https://www.politifact.com/factchecks/2021/dec/07/blog-posting/article-misleads-dangers-omicron-variant-using-uk-/,0,"stated on December 3, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://dailyexpose.uk/2021/11/27/only-the-fully-vaccinated-should-fear-the-new-variant/,exthepose,7760,0
3328,X posts,12/6/21,"""Tap water is testing positive for COVID!”",Jeff Cercone,https://www.politifact.com/factchecks/2021/dec/06/tweets/no-drinking-water-isnt-testing-positive-covid-19/,1,"stated on December 5, 2021 in a tweet:",FALSE,"['Public Health', 'Coronavirus', 'X posts']",0,0,0,small town doctor,https://twitter.com/DrP_MD/status/1467598164429611017,DrP_MD,54046,0
3338,Bloggers,12/2/21,Heart complications are one symptom “listed” for the omicron variant and are being “used to cover up effects” of COVID-19 vaccines.,Tom Kertscher,https://www.politifact.com/factchecks/2021/dec/02/blog-posting/heart-complications-arent-yet-listed-symptom-omicr/,0,"stated on November 28, 2021 in a blog post:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.md/hJ5XI,AlbertaNational,1189,0
3348,Bloggers,12/1/21,Athletes are collapsing with heart-related issues due to the COVID-19 vaccines,Kayla Steinberg,https://www.politifact.com/factchecks/2021/dec/01/blog-posting/theres-no-proof-covid-19-vaccines-are-causing-heal/,0,"stated on November 16, 2021 in a video:",FALSE,"['Health Care', 'Public Health', 'Sports', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.ph/iCNLT,,,1
3353,Bloggers,11/30/21,"“COVID death rates 4 to 1, vaccinated to unvaxxed”",Monique Curet,https://www.politifact.com/factchecks/2021/nov/30/blog-posting/vaccinated-people-england-are-not-dying-faster-rat/,0,"stated on November 19, 2021 in an article:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.md/lD21K,,,1
3384,Bloggers,11/19/21,COVID-19 vaccines contain luciferase.,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/nov/19/blog-posting/no-covid-19-vaccines-dont-contain-luciferase/,0,"stated on November 4, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.md/Opxcf,EmeraldRobinson,661712,0
3401,X posts,11/17/21,"""Bill Gates just admitted that the Pfizer and Moderna mRNA vaccines don’t work well.""",Samantha Putterman,https://www.politifact.com/factchecks/2021/nov/17/tweets/bill-gates-said-we-need-vaccines-halt-transmission/,1,"stated on November 9, 2021 in a tweet:",FALSE,"['National', 'Public Health', 'Facebook Fact-checks', 'Coronavirus', 'X posts']",0,0,0,,https://archive.md/Qco9E,ezralevant,426984,0
3408,Bloggers,11/16/21,“Disturbing Pfizer ad tells kids they’ll get superpowers from COVID jab.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/nov/16/blog-posting/pfizer-ad-doesnt-say-covid-19-vaccines-gives-kids-/,0,"stated on November 3, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.md/IkySr,gatewaypundit,669931,0
3416,Conservative Beaver,11/15/21,“Wife of Pfizer’s CEO dies after complications from the vaccine.”,Madison Czopek,https://www.politifact.com/factchecks/2021/nov/15/conservative-beaver/pfizer-ceos-wife-alive-and-well-she-did-not-die-va/,0,"stated on November 10, 2021 in a blog post:",pants-fire,"['Facebook Fact-checks', 'Coronavirus', 'Conservative Beaver']",1,0,1,cant_find_account,https://archive.vn/vyBcZ,,,1
3421,Bloggers,11/12/21,"""Report finds increased risk of spontaneous abortion following COVID-19 vaccination during pregnancy” after correcting “major error” in CDC study.",Vivian Lam,https://www.politifact.com/factchecks/2021/nov/12/blog-posting/cdc-study-covid-19-vaccination-and-spontaneous-abo/,0,"stated on November 1, 2021 in a blog post:",FALSE,"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,,https://archive.ph/1wSR1,lifebiomedguru,46618,0
3427,Bloggers,11/11/21,The military arrested “bedridden Gavin Newsom.”,Gabrielle Settles,https://www.politifact.com/factchecks/2021/nov/11/blog-posting/no-military-didnt-arrest-gov-gavin-newsom/,0,"stated on November 7, 2021 in a blog post:",pants-fire,"['Fake news', 'Facebook Fact-checks', 'California', 'Coronavirus', 'Bloggers']",1,1,1,,https://realrawnews.com/2021/11/military-arrests-bedridden-gavin-newsom/?fbclid=IwAR3GZm23kQO3RUHWffby0Ex8OoZJmWitqrn7Nh_kvkVM3xmgA2DHHpwIU4Y,RealRawNews1,41247,0
3444,Bloggers,11/9/21,“Australian military being trained to **force vaccinate** in door-to-door attacks.”,Ciara O'Rourke,https://www.politifact.com/factchecks/2021/nov/09/blog-posting/no-australian-military-isnt-going-door-door-and-fo/,0,"stated on November 1, 2021 in a blog post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",1,1,1,cant_find_account,https://archive.md/AJVaU,,,1
3449,Bloggers,11/8/21,"“Pfizer Confirms COVID-Vaccinated People Can ‘Shed’ Spike Proteins And Harm The Unvaccinated""",Monique Curet,https://www.politifact.com/factchecks/2021/nov/08/blog-posting/repeatedly-debunked-idea-shedding-covid-19-vaccine/,0,"stated on October 27, 2021 in a post:",FALSE,"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']",0,1,1,cant_find_account,https://archive.md/IDFUs,,,1
